Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0805_2012Metric",137.922000,-95.697000,90.000000,top
"C2","100n","C_0805_2012Metric",152.019000,-96.586000,180.000000,top
"C3","100n","C_0805_2012Metric",137.226000,-99.126000,180.000000,top
"R1","4.7k","R_0805_2012Metric",137.263500,-101.412000,180.000000,top
"R2","10k","R_0805_2012Metric",132.207000,-104.587000,0.000000,top
"R3","200k","R_0805_2012Metric",137.183500,-91.506000,180.000000,top
"R4","1k","R_0805_2012Metric",132.207000,-102.047000,0.000000,top
"R5","2.2k","R_0805_2012Metric",132.865500,-91.506000,180.000000,top
"R6","100k","R_0805_2012Metric",152.042500,-101.666000,180.000000,top
"R7","200k","R_0805_2012Metric",151.995500,-99.126000,0.000000,top
"R8","470k","R_0805_2012Metric",148.209000,-86.045000,0.000000,top
"R9","470k","R_0805_2012Metric",152.019000,-91.506000,180.000000,top
"R10","330k","R_0805_2012Metric",151.995500,-94.046000,0.000000,top
"R11","100k","R_0805_2012Metric",152.042500,-104.206000,180.000000,top
"R12","15k","R_0805_2012Metric",152.019000,-88.966000,180.000000,top
"R13","10k","R_0805_2012Metric",152.042500,-86.680000,180.000000,top
